num,Column1
0,RT @Wedny_bangdr: #뱅드림_트친소 #트친소
1,"뱅드림 로젤리아, 이마이 리사 좋아합니다 ♡ 굿즈 쫌쫌따리 모으고 시간 나면 그림도 그리고 오너캐 얘기도 해요! 그림은 라톤님 ♪ https://t.co/qudOyBR6nr"
2,@jeonng_hee_0415 뱅드림 !!
3,RT @asem95_cos: 뱅드림 cos
4,미타케 란
5,Afterglow!!
6,Cos. Asem
7,PT by @kongkonge100 https://t.co/DR6icLmGvw
8,첫번째카드 뱅드림 초기때 너무 좋아했음 이쁘잖아~~~ 그리고 헤이데이광상곡 의상은 다 너무 좋아해서...❤️‍🔥 https://t.co/XVgdaYPnzd
9,일도리 뱅드림 반도리 돌계 은퇴계 양도 찐덱 완덱 퓨라스 불글 쿨스파레 퓨젤 햎피파 쿨로하피 햎스파레 쿨글
10,뱅드림 로젤리아 유키나 아크릴 양도해요!!
11,하자 전혀 없어요
12,원하시는 가격 제시해주시면 최대한 맞춰드려요
13,카스미 란 아야 코코로 마시로 사요 리사 린코 아코 츄츄 치사토 히나링잉블룸 위고 부쿠부 파자마 로… https://t.co/eBT37Z1kU4
14,RT @masukikanojo: 뱅드림 장르 사토 마스키 천사님을 모십니다!
15,https://t.co/7AWRf6dCtZ
16,뱅드림/일도리
17,4성 x 16.5~17만돌 0.2
18,4성 8~9장 16.9~17만돌 0.4
19,4성 8~9장 17.5~19만돌 0.5
20,❗문의전 아래사진과 마음함 사진 필독하고 와주세요
21,안읽고 생긴 불이익은 책임… https://t.co/zA6hjzpL44
22,RT @masukikanojo: 뱅드림 장르 사토 마스키 천사님을 모십니다!
23,https://t.co/7AWRf6dCtZ
24,뱅드림 반도리 일도리 깐돌계 판매 양도 계정
25,미열람
26,미진행
27,각 계좌 0.3
28,일괄 0.5 https://t.co/qg5Vaw8MZZ
29,RT @KA1TEIN: 진짜 마지막.
30,루이츠쿠(뱅드림) 맛있다. https://t.co/fwJkgww6An
31,RT @110110_kki: 나 어릴 때 그림 연습 그걸로함
32,앙스타뱅드림방법
