"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"섭스때 많은 분들이 지적한 것처럼 유메쿠로가 남캐판 프리코네같단 말에 적극동의하는데 대체 왜 이 방식을 채택한건지 모르겠음 중국 게임기업들 프리코네 방주 야숨 집착광수 삼지선다 반드시 하나 있을거란게 최근… https://t.co/zQb35ps3hO",FALSE,0,"scc_07city",2022-06-11 22:27:18,TRUE,"1535743108641501184","1535750548434997249","1302176455481110528","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","scc_07city",0,FALSE,FALSE,NA,NA
"@myRO635 저두요 🥺💕 프리코네는 다시 접은지는 좀 됐지만 여전히 캐릭터는 애정하고 있어요. 헤헤... 앞으로 파고님 보러 자주 와야겠어요",FALSE,0,"myRO635",2022-06-11 19:12:11,FALSE,"1535698239655006208","1535701446120706048","1273828472826114049","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dodam_PRC",0,FALSE,FALSE,NA,NA
"근데 프리코네 키시쿤급 외모면 그 자체로도 개연성이긴 함",FALSE,0,NA,2022-06-11 17:31:08,FALSE,NA,"1535676018391851008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PiwoPivo",0,FALSE,FALSE,NA,NA
"근데 블루아카 선생이 사랑받는 이유가 그냥잘생겨서도 있는거 같지만(유우카가 걍 뭐 정리해주러 왔다가 눈돌아가는거만 봐도) 학생들마다 좋아하는이유가 좀 다른거같아서 그런건 맘에듬 프리코네할때 좀 그랬던게 얘가… https://t.co/GL7LTSIt7h",FALSE,0,NA,2022-06-11 17:26:28,TRUE,NA,"1535674842305171457",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MagicPowerjohns",0,FALSE,FALSE,NA,NA
"프리코네 하긴하는데 노래는 열심히 안들었어...",FALSE,0,NA,2022-06-11 17:17:42,FALSE,NA,"1535672637925404672",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Sheart_",0,FALSE,FALSE,NA,NA
"아 오늘 아침에 프리코네 잠깐 들어가고 안들어갔었나보네 스태가 자연회복이랑 길드하우스 다 꽉차있어 ㅋㅋㅋㅋㅋㅋㅋㅋ",FALSE,0,NA,2022-06-11 16:47:46,FALSE,NA,"1535665101692211200",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","lechat83",0,FALSE,FALSE,NA,NA
"프리코네 요리 6성 달성 https://t.co/Qdf7NLZfQq",FALSE,0,NA,2022-06-11 16:26:37,FALSE,NA,"1535659780240740352",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Game_Ing_f",0,FALSE,FALSE,NA,NA
"프리코네 진짜 한 줄 알았는데 안했네",FALSE,0,NA,2022-06-11 14:55:20,FALSE,NA,"1535636808364883969",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MomokoBox",0,FALSE,FALSE,NA,NA
"프리코네만 좀더하고 출발해야지 ㅋㅋ~",FALSE,0,NA,2022-06-11 11:19:33,FALSE,NA,"1535582502626004992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BS_taso",0,FALSE,FALSE,NA,NA
"@khing1015 프리코네 정모",FALSE,0,"khing1015",2022-06-11 10:15:45,FALSE,"1535563659585671169","1535566448768057344","963470059850014720","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TEnET_YHA_P",0,FALSE,FALSE,NA,NA
"@Dora123789 주의 : 프리코네 사렌 아님",FALSE,1,"Dora123789",2022-06-11 09:07:57,FALSE,"1535514631078174720","1535549387669090304","1306888424490545158","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BlueRem0204",0,FALSE,FALSE,NA,NA
"모두의 익명 질문을 모집 중!

최근 답변한 질문
● 어떤 종류의 치킨을 제일 좋…
● 빌립 어겐 기대이상으로 나왔…
● 아직 프리코네하고 계신가요?
● 즐겨보는 유튜브 채널이나 스…
#질문상자… https://t.co/Csrm0Isc2g",FALSE,0,NA,2022-06-11 09:03:14,TRUE,NA,"1535548199540207616",NA,"<a href=""https://peing.net"" rel=""nofollow"">Peing</a>","midas850",0,FALSE,FALSE,NA,NA
"RT @acetofa: 몬가 이상한 프리코네 가챠 https://t.co/8E12HOh68F",FALSE,0,NA,2022-06-11 08:57:28,FALSE,NA,"1535546747887362049",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","THEBLUBLR",3,TRUE,FALSE,NA,NA
"ㅅㅂ맞다~
프리코네하는거까먹음",FALSE,0,NA,2022-06-11 03:12:47,FALSE,NA,"1535460005595717632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_moonrabbit___",0,FALSE,FALSE,NA,NA
